# MCU Time(ns), ADC reading
5928240264893.000000,61487.000000
5928241302491.000000,61599.000000
5928242309572.000000,61519.000000
5928243316652.000000,61711.000000
5928244354251.000000,61727.000000
5928245361331.000000,61663.000000
5928246368412.000000,61743.000000
5928247406010.000000,61535.000000
5928248413091.000000,61855.000000
5928249450689.000000,61583.000000
5928250457770.000000,61615.000000
5928251464850.000000,61727.000000
5928252502449.000000,61887.000000
5928253509529.000000,61919.000000
5928254516610.000000,62079.000000
5928255554208.000000,61807.000000
5928256561289.000000,61839.000000
5928257568369.000000,61759.000000
5928258605968.000000,62239.000000
5928259613048.000000,61855.000000
5928260620129.000000,62063.000000
5928261657727.000000,62127.000000
5928262695312.000000,62159.000000
5928263702393.000000,61999.000000
5928264709473.000000,62159.000000
5928265747072.000000,62319.000000
5928266754152.000000,62127.000000
5928267761233.000000,62207.000000
5928268798831.000000,62463.000000
5928269805912.000000,62223.000000
5928270812992.000000,62255.000000
5928271850591.000000,62303.000000
5928272857671.000000,62335.000000
5928273895270.000000,62303.000000
5928274902350.000000,62607.000000
5928275939949.000000,62319.000000
5928276947029.000000,62271.000000
5928277954110.000000,62559.000000
5928278961190.000000,62415.000000
5928279998789.000000,62591.000000
5928281005869.000000,62463.000000
5928282043468.000000,62511.000000
5928283050548.000000,62655.000000
5928284057629.000000,62671.000000
5928285095227.000000,62671.000000
5928286102308.000000,62607.000000
5928287139893.000000,62735.000000
5928288146973.000000,62703.000000
5928289154054.000000,62879.000000
5928290191652.000000,62751.000000
5928291198733.000000,62751.000000
5928292236331.000000,62975.000000
5928293243412.000000,62879.000000
5928294250492.000000,63039.000000
5928295288091.000000,62911.000000
5928296295171.000000,62879.000000
5928297332770.000000,62815.000000
5928298339850.000000,62815.000000
5928299346931.000000,62895.000000
5928300384529.000000,62767.000000
5928301391610.000000,63055.000000
5928302398690.000000,63071.000000
5928303436289.000000,62911.000000
5928304443369.000000,62991.000000
5928305450450.000000,63199.000000
5928306488048.000000,62959.000000
5928307495129.000000,63087.000000
5928308532727.000000,63183.000000
5928309539808.000000,63087.000000
5928310577393.000000,63375.000000
5928311584473.000000,63343.000000
5928312622072.000000,63263.000000
5928313629152.000000,63167.000000
5928314636233.000000,63295.000000
5928315673831.000000,63263.000000
5928316680912.000000,63343.000000
5928317687992.000000,63375.000000
5928318725591.000000,63263.000000
5928319732671.000000,63295.000000
5928320739752.000000,63343.000000
5928321777350.000000,63247.000000
5928322784431.000000,63551.000000
5928323822029.000000,63231.000000
5928324829110.000000,63583.000000
5928325836190.000000,63215.000000
5928326873789.000000,63519.000000
5928327880869.000000,63311.000000
5928328887950.000000,63455.000000
5928329925548.000000,63647.000000
5928330932629.000000,63679.000000
5928331970227.000000,63359.000000
5928332977308.000000,63679.000000
5928334014893.000000,63471.000000
5928335021973.000000,63439.000000
5928336029054.000000,63599.000000
5928337066652.000000,63423.000000
5928338073733.000000,63663.000000
5928339111331.000000,63567.000000
5928340118412.000000,63855.000000
5928341125492.000000,63743.000000
5928342163091.000000,63615.000000
5928343170171.000000,63487.000000
5928344177252.000000,63663.000000
5928345214850.000000,63663.000000
5928346221931.000000,63647.000000
5928347229011.000000,63807.000000
5928348266610.000000,63807.000000
5928349273690.000000,63839.000000
5928350311289.000000,63839.000000
5928351318369.000000,63823.000000
5928352325450.000000,63631.000000
5928353363048.000000,63967.000000
5928354370129.000000,64015.000000
5928355377209.000000,63823.000000
5928356414808.000000,63663.000000
5928357421875.000000,64015.000000
5928358459473.000000,64015.000000
5928359466554.000000,64095.000000
5928360504152.000000,64015.000000
5928361511233.000000,63919.000000
5928362518313.000000,63759.000000
5928363555912.000000,63919.000000
5928364562992.000000,63887.000000
5928365570073.000000,64031.000000
5928366607671.000000,63887.000000
5928367614752.000000,63967.000000
5928368621832.000000,63967.000000
5928369659431.000000,63839.000000
5928370666511.000000,64031.000000
5928371673592.000000,63935.000000
5928372711190.000000,64063.000000
5928373718271.000000,64175.000000
5928374755869.000000,64015.000000
5928375762950.000000,63951.000000
5928376770030.000000,64047.000000
5928377807629.000000,64095.000000
5928378814709.000000,64111.000000
5928379821790.000000,64063.000000
5928380859375.000000,64191.000000
5928381866455.000000,63951.000000
5928382904054.000000,64143.000000
5928383911134.000000,63903.000000
5928384918215.000000,64191.000000
5928385955813.000000,63999.000000
5928386962894.000000,64351.000000
5928388000492.000000,64031.000000
5928389007573.000000,64335.000000
5928390014653.000000,64063.000000
5928391052252.000000,64127.000000
5928392059332.000000,64479.000000
5928393066413.000000,64223.000000
5928394104011.000000,64239.000000
5928395111092.000000,64367.000000
5928396148690.000000,64415.000000
5928397155771.000000,64095.000000
5928398162851.000000,64399.000000
5928399200450.000000,64479.000000
5928400207530.000000,64175.000000
5928401245129.000000,64223.000000
5928402252209.000000,64223.000000
5928403259290.000000,64559.000000
5928404296875.000000,64383.000000
5928405334473.000000,64335.000000
5928406341554.000000,64287.000000
5928407348634.000000,64335.000000
5928408386233.000000,64479.000000
5928409393313.000000,64335.000000
5928410400394.000000,64319.000000
5928411437992.000000,64335.000000
5928412445073.000000,64527.000000
5928413452153.000000,64399.000000
5928414489752.000000,64207.000000
5928415496832.000000,64335.000000
5928416503913.000000,64431.000000
5928417541511.000000,64575.000000
5928418548592.000000,64607.000000
5928419555672.000000,64511.000000
5928420593271.000000,64447.000000
5928421600351.000000,64623.000000
5928422607432.000000,64591.000000
5928423645030.000000,64559.000000
5928424652111.000000,64351.000000
5928425689709.000000,64527.000000
5928426696790.000000,64735.000000
5928427734375.000000,64431.000000
5928428741455.000000,64479.000000
5928429748536.000000,64703.000000
5928430786134.000000,64495.000000
5928431793215.000000,64655.000000
5928432830813.000000,64479.000000
5928433837894.000000,64543.000000
5928434844974.000000,64511.000000
5928435882573.000000,64527.000000
5928436889653.000000,64575.000000
5928437896734.000000,64607.000000
5928438934332.000000,64495.000000
5928439941413.000000,64479.000000
5928440979011.000000,64527.000000
5928441986092.000000,64687.000000
5928442993172.000000,64559.000000
5928444030771.000000,64607.000000
5928445037851.000000,64671.000000
5928446044932.000000,64591.000000
5928447082530.000000,64783.000000
5928448089611.000000,64831.000000
5928449127209.000000,64815.000000
5928450134290.000000,64879.000000
5928451171875.000000,64703.000000
5928452178955.000000,64543.000000
5928453186036.000000,64799.000000
5928454223634.000000,64687.000000
5928455230715.000000,64719.000000
5928456237795.000000,64559.000000
5928457275394.000000,64831.000000
5928458282474.000000,64623.000000
5928459289555.000000,64543.000000
5928460327153.000000,64687.000000
5928461334234.000000,64687.000000
5928462371832.000000,64847.000000
5928463378913.000000,64815.000000
5928464385993.000000,64687.000000
5928465423592.000000,64687.000000
5928466430672.000000,64655.000000
5928467437753.000000,64687.000000
5928468475351.000000,64815.000000
5928469482432.000000,64783.000000
5928470489512.000000,64927.000000
5928471527111.000000,64591.000000
5928472534191.000000,64735.000000
5928473541272.000000,64703.000000
5928474578870.000000,64959.000000
5928475585937.000000,64911.000000
5928476623536.000000,65103.000000
5928477630616.000000,64847.000000
5928478637697.000000,65023.000000
5928479675295.000000,64799.000000
5928480682376.000000,64959.000000
5928481689456.000000,64927.000000
5928482727055.000000,65071.000000
5928486969003.000000,64767.000000
5928491577153.000000,64911.000000
5928492614752.000000,65071.000000
5928493621832.000000,64895.000000
5928494628913.000000,64975.000000
5928495666511.000000,64815.000000
5928496673592.000000,64927.000000
5928497711190.000000,64911.000000
5928498718271.000000,65039.000000
5928499725351.000000,65071.000000
5928500762950.000000,64943.000000
5928501770030.000000,65135.000000
5928502777111.000000,64927.000000
5928503814709.000000,64927.000000
5928504821790.000000,65071.000000
5928505859375.000000,65055.000000
5928506866455.000000,65183.000000
5928507873536.000000,64895.000000
5928508911134.000000,64847.000000
5928509918215.000000,64895.000000
5928510955813.000000,64815.000000
5928511962894.000000,65151.000000
5928512969974.000000,65055.000000
5928514007573.000000,65103.000000
5928515014653.000000,65119.000000
5928516021734.000000,65119.000000
5928517059332.000000,64943.000000
5928518066413.000000,65023.000000
5928519073493.000000,65231.000000
5928520111092.000000,65071.000000
5928521118172.000000,65039.000000
5928522155771.000000,65023.000000
5928523162851.000000,65359.000000
5928524169932.000000,65087.000000
5928525207530.000000,65071.000000
5928526214611.000000,65023.000000
5928527221691.000000,65231.000000
5928528259290.000000,65135.000000
5928529266370.000000,65135.000000
5928530303955.000000,65199.000000
5928531311036.000000,64911.000000
5928532348634.000000,65295.000000
5928533355715.000000,65055.000000
5928534362795.000000,64975.000000
5928535400394.000000,65103.000000
5928536407474.000000,65119.000000
5928537414555.000000,65039.000000
5928538452153.000000,64927.000000
5928539459234.000000,64991.000000
5928540496832.000000,65167.000000
5928541503913.000000,65023.000000
5928542510993.000000,64863.000000
5928543518074.000000,65199.000000
5928544555672.000000,64975.000000
5928545562753.000000,65023.000000
5928546600351.000000,65167.000000
5928547607432.000000,65135.000000
5928548614512.000000,65199.000000
5928549652111.000000,65199.000000
5928550659191.000000,65135.000000
5928551666272.000000,65167.000000
5928552703870.000000,65135.000000
5928553710937.000000,65215.000000
5928554748536.000000,65023.000000
5928555755616.000000,65215.000000
5928556762697.000000,65199.000000
5928557800295.000000,65327.000000
5928558807376.000000,65247.000000
5928559844974.000000,65087.000000
5928560852055.000000,65295.000000
5928561859135.000000,65039.000000
5928562866216.000000,65055.000000
5928563903814.000000,65183.000000
5928564910895.000000,65183.000000
5928565948493.000000,65311.000000
5928566955574.000000,65327.000000
5928567993172.000000,65039.000000
5928569000253.000000,65231.000000
5928570007333.000000,65151.000000
5928571044932.000000,65103.000000
5928572052012.000000,65087.000000
5928573059093.000000,65135.000000
5928574066173.000000,65423.000000
5928575103772.000000,65247.000000
5928576110852.000000,65167.000000
5928577148437.000000,65343.000000
5928578155518.000000,65199.000000
5928579193116.000000,65183.000000
5928580200197.000000,65119.000000
5928581237795.000000,65183.000000
5928582244876.000000,65263.000000
5928583251956.000000,65119.000000
5928584289555.000000,65327.000000
5928585296635.000000,65199.000000
5928586303716.000000,65311.000000
